Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,,D_SOD-323_HandSoldering,88.386837,-131.704721,-112.0,top
D10,,D_SOD-323_HandSoldering,149.777347,-131.917505,-112.0,top
D11,,D_SOD-323_HandSoldering,156.894871,-114.301012,-112.0,top
D12,,D_SOD-323_HandSoldering,164.012398,-96.684519,-112.0,top
D13,,D_SOD-323_HandSoldering,165.970334,-142.558331,-112.0,top
D14,,D_SOD-323_HandSoldering,173.08786,-124.941836,-112.0,top
D15,,D_SOD-323_HandSoldering,180.205386,-107.325341,-112.0,top
D16,,D_SOD-323_HandSoldering,183.586829,-149.675854,-112.0,top
D17,,D_SOD-323_HandSoldering,190.704353,-132.059361,-112.0,top
D18,,D_SOD-323_HandSoldering,197.821877,-114.442868,-112.0,top
D19,,D_SOD-323_HandSoldering,162.376107,-161.598328,-112.0,top
D2,,D_SOD-323_HandSoldering,95.504361,-114.088228,-112.0,top
D20,,D_SOD-323_HandSoldering,179.992602,-168.715851,-112.0,top
D21,,D_SOD-323_HandSoldering,197.609095,-175.833377,-112.0,top
D22,,D_SOD-323_HandSoldering,349.608525,-131.70472,-68.0,top
D23,,D_SOD-323_HandSoldering,342.490999,-114.088228,-68.0,top
D24,,D_SOD-323_HandSoldering,335.373474,-96.471735,-68.0,top
D25,,D_SOD-323_HandSoldering,331.99203,-138.822244,-68.0,top
D26,,D_SOD-323_HandSoldering,324.874507,-121.205752,-68.0,top
D27,,D_SOD-323_HandSoldering,317.756981,-103.589258,-68.0,top
D28,,D_SOD-323_HandSoldering,309.39327,-133.608226,-68.0,top
D29,,D_SOD-323_HandSoldering,302.275745,-115.991732,-68.0,top
D3,,D_SOD-323_HandSoldering,102.621887,-96.471735,-112.0,top
D30,,D_SOD-323_HandSoldering,295.158218,-98.37524,-68.0,top
D31,,D_SOD-323_HandSoldering,288.218014,-131.917503,-68.0,top
D32,,D_SOD-323_HandSoldering,281.100489,-114.301011,-68.0,top
D33,,D_SOD-323_HandSoldering,273.982964,-96.68452,-68.0,top
D34,,D_SOD-323_HandSoldering,272.025026,-142.558329,-68.0,top
D35,,D_SOD-323_HandSoldering,264.907501,-124.941836,-68.0,top
