Designator,Mid X,Mid Y,Rotation,Layer
_42,195.121999,-109.982001,0.0,top
_41,195.121999,-112.522001,0.0,top
_40,195.121999,-115.062001,0.0,top
_39,195.122,-117.602001,0.0,top
_38,195.121999,-120.142001,0.0,top
_37,195.121999,-122.682001,0.0,top
_36,195.121999,-125.222001,0.0,top
_35,195.122,-127.762001,0.0,top
_34,195.121999,-130.302,0.0,top
_33,195.122,-132.842,0.0,top
_32,203.122,-109.982,0.0,top
_31,203.122,-112.522,0.0,top
_30,203.121999,-115.062,0.0,top
_29,203.121999,-117.602,0.0,top
_28,203.122,-120.142,0.0,top
_27,203.122,-122.682,0.0,top
_26,203.121999,-125.222,0.0,top
_25,203.121999,-127.762,0.0,top
_24,203.122,-130.302,0.0,top
_23,203.122,-132.842,0.0,top
_22,233.122,-109.982,0.0,top
_21,233.121999,-112.521999,0.0,top
_20,233.122,-115.061999,0.0,top
_19,233.122,-117.602,0.0,top
_18,233.122,-120.142,0.0,top
_17,233.121999,-122.681999,0.0,top
_16,233.121999,-125.222,0.0,top
_15,233.122,-127.762,0.0,top
_14,233.122,-130.302,0.0,top
_13,233.121999,-132.841999,0.0,top
_12,225.122,-109.982,0.0,top
_11,225.121999,-112.522,0.0,top
_10,225.121999,-115.062,0.0,top
_9,225.121999,-117.602,0.0,top
_8,225.122,-120.142,0.0,top
_7,225.121999,-122.682,0.0,top
_6,225.121999,-125.222,0.0,top
_5,225.121999,-127.762,0.0,top
_4,225.122,-130.302,0.0,top
_3,225.121999,-132.842,0.0,top
_2,212.122,-128.744,0.0,top
,216.121999,-128.744001,0.0,top
D1,83.511155,-114.973407,248.0,top
D10,144.901665,-115.18619,248.0,top
D11,152.019191,-97.569696,248.0,top
D12,159.136717,-79.953204,248.0,top
D13,161.094653,-125.827015,248.0,top
D14,168.21218,-108.210521,248.0,top
D15,175.329704,-90.594027,248.0,top
D16,178.711147,-132.94454,248.0,top
D17,185.828673,-115.328047,248.0,top
D18,192.946197,-97.711552,248.0,top
D19,157.500427,-144.867013,248.0,top
D2,90.628679,-97.356913,248.0,top
D20,175.11692,-151.984537,248.0,top
D21,192.733413,-159.102062,248.0,top
D22,344.732844,-114.973406,292.0,top
D23,337.615317,-97.356913,292.0,top
D24,330.497793,-79.74042,292.0,top
D25,327.11635,-122.090931,292.0,top
D26,319.998825,-104.474438,292.0,top
D27,312.881299,-86.857944,292.0,top
D28,304.517588,-116.876911,292.0,top
D29,297.400063,-99.260418,292.0,top
D3,97.746207,-79.74042,248.0,top
D30,290.282539,-81.643925,292.0,top
D31,283.342332,-115.186189,292.0,top
D32,276.224808,-97.569697,292.0,top
D33,269.107282,-79.953205,292.0,top
D34,267.149344,-125.827014,292.0,top
D35,260.031819,-108.210521,292.0,top
D36,252.914294,-90.594028,292.0,top
D37,249.532852,-132.944538,292.0,top
D38,242.415326,-115.328045,292.0,top
D39,235.297801,-97.711554,292.0,top
D4,101.127649,-122.090931,248.0,top
D40,270.743571,-144.867011,292.0,top
D41,253.127078,-151.984538,292.0,top
D42,235.510584,-159.102063,292.0,top
D5,108.245174,-104.474439,248.0,top
D6,115.362699,-86.857945,248.0,top
D7,123.726409,-116.876911,248.0,top
D8,130.843936,-99.260418,248.0,top
D9,137.96146,-81.643925,248.0,top
MCU1,214.122,-109.474,270.0,top
PWR1,214.121999,-163.444,270.0,top
S1,73.204482,-115.123379,338.0,top
S10,134.594992,-115.336162,338.0,top
S11,141.712517,-97.71967,338.0,top
S12,148.830043,-80.103176,338.0,top
S13,150.787981,-125.976986,338.0,top
S14,157.905506,-108.360492,338.0,top
S15,165.023032,-90.744001,338.0,top
S16,168.404474,-133.094513,338.0,top
S17,175.521999,-115.478019,338.0,top
S18,182.639524,-97.861526,338.0,top
S19,147.193755,-145.016985,338.0,top
S2,80.322007,-97.506886,338.0,top
S20,164.810247,-152.13451,338.0,top
S21,182.426741,-159.252037,338.0,top
S22,355.039516,-115.123378,22.0,top
S23,347.92199,-97.506886,22.0,top
S24,340.804466,-79.890391,22.0,top
S25,337.423022,-122.240903,22.0,top
S26,330.305498,-104.624411,22.0,top
S27,323.187972,-87.007919,22.0,top
S28,314.824262,-117.026884,22.0,top
S29,307.706736,-99.410391,22.0,top
S3,87.439533,-79.890392,338.0,top
S30,300.589212,-81.793899,22.0,top
S31,293.649005,-115.336163,22.0,top
S32,286.53148,-97.719669,22.0,top
S33,279.413955,-80.103176,22.0,top
S34,277.456017,-125.976987,22.0,top
S35,270.338492,-108.360493,22.0,top
S36,263.220968,-90.743999,22.0,top
S37,259.839525,-133.094512,22.0,top
S38,252.721999,-115.478019,22.0,top
S39,245.604474,-97.861526,22.0,top
S4,90.820976,-122.240904,338.0,top
S40,281.050245,-145.016985,22.0,top
S41,263.433752,-152.13451,22.0,top
S42,245.817257,-159.252036,22.0,top
S5,97.938502,-104.624411,338.0,top
S6,105.056026,-87.007917,338.0,top
S7,113.419736,-117.026884,338.0,top
S8,120.537263,-99.410391,338.0,top
S9,127.654788,-81.793898,338.0,top
_129,203.622,-89.744,0.0,top
_130,224.622,-89.744,0.0,top
_131,203.621999,-161.744,0.0,top
_132,224.621999,-161.744,0.0,top
_133,191.670039,-88.190186,338.0,top
_134,193.85973,-168.994303,338.0,top
_135,114.798293,-75.574929,338.0,top
_136,124.852726,-126.769152,338.0,top
_137,236.57396,-88.190186,22.0,top
_138,234.38427,-168.994303,22.0,top
_139,313.445704,-75.574929,22.0,top
_140,303.391273,-126.76915,22.0,top
